Day,W261,W251,W251W261
1,75,71,-4
2,77,78,1
3,70,75,5
4,72,69,-3
5,87,85,-2
6,73,81,8
7,62,77,15
8,83,73,-10
9,79,78,-1
10,74,80,6
11,78,83,5
12,76,77,1
13,74,68,-6
14,72,71,-1
15,79,76,-3
16,75,77,2
17,77,76,-1
18,75,70,-5
19,68,70,2
20,75,81,6
21,74,81,7
22,77,67,-10
23,71,86,15
24,82,83,1
25,82,89,7
26,80,88,8
27,73,84,11
28,75,86,11
29,74,76,2
30,71,82,11
31,83,80,-3
32,80,86,6
33,75,85,10
34,69,84,15
35,83,83,0
36,80,84,4
37,87,80,-7
38,83,75,-8
39,73,83,10
40,76,80,4
41,76,90,14
42,70,82,12
43,75,80,5
44,85,82,-3
45,82,85,3
46,78,83,5
47,81,89,8
48,67,83,16
49,78,86,8
50,77,81,4
51,76,90,14
52,78,72,-6
53,77,76,-1
54,78,66,-12
55,80,86,6
56,68,85,17
57,67,82,15
58,72,69,-3
59,63,85,22
60,85,82,-3
